prompt_id,valid_schema_flag,extracted_complaint_category,expected_complaint_category,obvious_misinterpretation_flag,notes
noisy_01,1,Medication,prescription_admin,1,Complaint category differs from expected label.
noisy_02,1,health_monitoring,tests_monitoring,1,Complaint category differs from expected label.
noisy_03,1,cold_or_respiratory,respiratory,1,Complaint category differs from expected label.
noisy_04,1,work-related,administrative,1,Complaint category differs from expected label.
noisy_05,1,general_query,general_review,1,Complaint category differs from expected label.
noisy_06,1,UTI,urinary,1,Complaint category differs from expected label.
noisy_07,1,general_query,prescription_admin,1,Complaint category differs from expected label.
noisy_08,1,cough,respiratory,1,Complaint category differs from expected label.
noisy_09,1,general_query,administrative,1,Complaint category differs from expected label.
noisy_10,1,general_health,general_review,1,Complaint category differs from expected label.
noisy_11,1,Health Monitoring,tests_monitoring,1,Complaint category differs from expected label.
noisy_12,1,UTI,urinary,1,Complaint category differs from expected label.
noisy_13,1,general_query,prescription_admin,1,Complaint category differs from expected label.
noisy_14,1,medical,tests_monitoring,1,Complaint category differs from expected label.
noisy_15,1,general_query,administrative,1,Complaint category differs from expected label.
noisy_16,1,general_query,general_review,1,Complaint category differs from expected label.
noisy_17,1,uropathy,urinary,1,Complaint category differs from expected label.
noisy_18,1,cough,respiratory,1,Complaint category differs from expected label.
noisy_19,1,general,administrative,1,Complaint category differs from expected label.
noisy_20,1,General Health Checkup,general_review,1,Complaint category differs from expected label.
noisy_21,1,health,tests_monitoring,1,Complaint category differs from expected label.
noisy_22,1,cold,respiratory,1,Complaint category differs from expected label.
noisy_23,1,UTI,urinary,1,Complaint category differs from expected label.
noisy_24,1,Medication Management,prescription_admin,1,Complaint category differs from expected label.
noisy_25,1,general_query,administrative,1,Complaint category differs from expected label.
noisy_26,1,general_query,general_review,1,Complaint category differs from expected label.
noisy_27,1,Cough,respiratory,1,Complaint category differs from expected label.
noisy_28,1,health_monitoring,tests_monitoring,1,Complaint category differs from expected label.
noisy_29,1,urinary,urinary,0,
noisy_30,1,general_query,prescription_admin,1,Complaint category differs from expected label.
noisy_31,1,general_query,administrative,1,Complaint category differs from expected label.
noisy_32,1,general_query,general_review,1,Complaint category differs from expected label.
noisy_33,1,medical,tests_monitoring,1,Complaint category differs from expected label.
noisy_34,1,Cough,respiratory,1,Complaint category differs from expected label.
noisy_35,1,UTI,urinary,1,Complaint category differs from expected label.
noisy_36,1,Medication Management,prescription_admin,1,Complaint category differs from expected label.
noisy_37,1,Health Consultation,administrative,1,Complaint category differs from expected label.
noisy_38,1,general_health,general_review,1,Complaint category differs from expected label.
noisy_39,1,cough,respiratory,1,Complaint category differs from expected label.
noisy_40,1,health_monitoring,tests_monitoring,1,Complaint category differs from expected label.
noisy_41,1,urinary probs.,urinary,1,Complaint category differs from expected label.
noisy_42,1,general_health,prescription_admin,1,Complaint category differs from expected label.
noisy_43,1,general,administrative,1,Complaint category differs from expected label.
noisy_44,1,general_query,general_review,1,Complaint category differs from expected label.
noisy_45,1,cough,respiratory,1,Complaint category differs from expected label.
noisy_46,1,health_check,tests_monitoring,1,Complaint category differs from expected label.
noisy_47,1,UTI,urinary,1,Complaint category differs from expected label.
noisy_48,1,Medication Review,prescription_admin,1,Complaint category differs from expected label.
noisy_49,1,general_query,administrative,1,Complaint category differs from expected label.
noisy_50,1,General Health Checkup,general_review,1,Complaint category differs from expected label.
